Key,en,es,ar
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Opps! Target not found!,Opps! Target not found!,¡Ups! ¡Objetivo no encontrado!,انتبه! لم يتم العثور على الهدف!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Super admin role can't deletable,Super admin role can't deletable,La función de superadministrador no se puede eliminar,لا يمكن حذف دور المشرف المتميز
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!
Campaign item added successfully!,Campaign item added successfully!,¡Artículo de campaña agregado exitosamente!,تمت إضافة عنصر الحملة بنجاح!
Campaign item updated successfully!,Campaign item updated successfully!,¡Artículo de campaña actualizado exitosamente!,تم تحديث عنصر الحملة بنجاح!
Campaigns delete successfully!,Campaigns delete successfully!,¡Las campañas se eliminan correctamente!,تم حذف الحملات بنجاح!
Campaign status updated successfully!,Campaign status updated successfully!,¡El estado de la campaña se actualizó exitosamente!,تم تحديث حالة الحملة بنجاح!
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
Contact Message delete successfully!,Contact Message delete successfully!,Contacto ¡Eliminación del mensaje exitosamente!,تم حذف رسالة الاتصال بنجاح!
Notifications clear successfully!,Notifications clear successfully!,¡Las notificaciones se borran correctamente!,تم مسح الإخطارات بنجاح!
Donation request approved successfully,Donation request approved successfully,Solicitud de donación aprobada exitosamente,تمت الموافقة على طلب التبرع بنجاح
Donation request rejected successfully,Donation request rejected successfully,Solicitud de donación rechazada con éxito,تم رفض طلب التبرع بنجاح
Event added successfully!,Event added successfully!,¡Evento agregado exitosamente!,تمت إضافة الحدث بنجاح!
Event updated successfully!,Event updated successfully!,¡Evento actualizado exitosamente!,تم تحديث الحدث بنجاح!
Event record not found in our system,Event record not found in our system,Registro de evento no encontrado en nuestro sistema,سجل الحدث غير موجود في نظامنا
Event delete successfully!,Event delete successfully!,¡El evento se eliminó correctamente!,تم حذف الحدث بنجاح!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!
About item added successfully!,About item added successfully!,¡Acerca del artículo agregado exitosamente!,تمت إضافة العنصر بنجاح!
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!
Section item delete successfully!,Section item delete successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!
Partner Section updated successfully!,Partner Section updated successfully!,¡La sección de socios se actualizó exitosamente!,تم تحديث قسم الشركاء بنجاح!
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada exitosamente!,تم حفظ الفئة بنجاح!
Category Updated Successfully!,Category Updated Successfully!,¡Categoría actualizada con éxito!,تم تحديث الفئة بنجاح!
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!
Faq Saved Successfully!,Faq Saved Successfully!,¡Preguntas frecuentes guardadas correctamente!,تم حفظ الأسئلة الشائعة بنجاح!
Faq status updated successfully!,Faq status updated successfully!,¡El estado de las preguntas frecuentes se actualizó exitosamente!,تم تحديث حالة الأسئلة الشائعة بنجاح!
Faq deleted successfully!,Faq deleted successfully!,¡Preguntas frecuentes eliminadas correctamente!,تم حذف الأسئلة الشائعة بنجاح!
Subscriber delete successfully!,Subscriber delete successfully!,¡Eliminación del suscriptor exitosamente!,تم حذف المشترك بنجاح!
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!
Success,Success,Éxito,نجاح
Page added successfully!,Page added successfully!,¡Página agregada exitosamente!,تمت إضافة الصفحة بنجاح!
Page updated successfully!,Page updated successfully!,¡Página actualizada exitosamente!,تم تحديث الصفحة بنجاح!
Page record not found in our system,Page record not found in our system,Registro de página no encontrado en nuestro sistema,سجل الصفحة غير موجود في نظامنا
Page status updated successfully!,Page status updated successfully!,¡El estado de la página se actualizó exitosamente!,تم تحديث حالة الصفحة بنجاح!
Page deleted successfully!,Page deleted successfully!,¡Página eliminada exitosamente!,تم حذف الصفحة بنجاح!
Active User,Active User,Usuario activo,مستخدم نشط
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
You have to configure your system mail first,You have to configure your system mail first,Primero debes configurar el correo de tu sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات
Image assets updated successfully!,Image assets updated successfully!,¡Los recursos de imagen se actualizaron correctamente!,تم تحديث أصول الصورة بنجاح!
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
All Time Raised Amount,All Time Raised Amount,Monto recaudado todos los tiempos,المبلغ الذي تم رفعه في كل الأوقات
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع
Available,Available,Disponible,متاح
Enter your name,Enter your name,Introduzca su nombre,أدخل أسمك
Enter your number,Enter your number,Entra tu numero,أدخل رقمك
Subject,Subject,Sujeto,موضوع
Enter your message,Enter your message,Ingrese su mensaje,أدخل رسالتك
Pending,Pending,Pendiente,قيد الانتظار
Rejected,Rejected,Rechazado,مرفوض
Waiting,Waiting,Espera,منتظر
Limit,Limit,Límite,حد
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
Tnx hash,Tnx hash,hash tnx,تجزئة Tnx
Transaction Hash Hash,Transaction Hash Hash,Hash de transacción Hash,تجزئة المعاملات
Transaction Hash,Transaction Hash,Hash de transacción,تجزئة الصفقة
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول
Enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
Country,Country,País,دولة
State,State,Estado,ولاية
Enter State,Enter State,Ingresar estado,إدخال الدولة
City,City,Ciudad,مدينة
Enter city,Enter city,Introduce la ciudad,أدخل المدينة
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي
Address,Address,DIRECCIÓN,عنوان
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Developed by,Developed by,Desarrollado por,طورت بواسطة
Completed,Completed,Terminado,مكتمل
Canceled,Canceled,Cancelado,ألغيت
Hold,Hold,Sostener,يمسك
All,All,Todo,الجميع
Banned,Banned,Prohibido,محظور
1 week,1 week,1 semana,أسبوع 1
1 month,1 month,1 mes,شهر واحد
1 year,1 year,1 año,1 سنة
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة
Heading,Heading,Título,عنوان
Description,Description,Descripción,وصف
Image,Image,Imagen,صورة
Enable,Enable,Permitir,يُمكَِن
Disable,Disable,Desactivar,إبطال
Tags,Tags,Etiquetas,العلامات
Country Flag,Country Flag,Bandera del país,علم الدولة
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Rate,Rate,Tasa,معدل
Details,Details,Detalles,تفاصيل
Edit Event,Edit Event,Editar evento,تحرير الحدث
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Total Add Money,Total Add Money,Añadir dinero total,إجمالي إضافة المال
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Phone Number,Phone Number,Número de teléfono,رقم التليفون
User Status,User Status,Estatus de usuario,حالة المستخدم
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA
Write Here...,Write Here...,Escribe aquí...,اكتب هنا...
Select Type,Select Type,Seleccione tipo,اختر صنف
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم
Remark,Remark,Observación,ملاحظة
Send,Send,Enviar,يرسل
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين
Kyc Unverified,Kyc Unverified,Kyc no verificado,لم يتم التحقق من Kyc
User,User,Usuario,مستخدم
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد
SL,SL,SL,إس إل
IP,IP,IP,الملكية الفكرية
MAC,MAC,MAC,ماك
Location,Location,Ubicación,موقع
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل
Login at,Login at,Inicia sesión en,تسجيل الدخول في
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
SL NO,SL NO,SI. NO,SL. لا
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف
Contact Message,Contact Message,Mensaje de contacto,رسالة الاتصال
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
Seconds,Seconds,Segundos,ثواني
Web Version,Web Version,Versión Web,نسخة الويب
Site Name,Site Name,Nombre del sitio,اسم الموقع
Write Name...,Write Name...,Escribe nombre...,كتابة الاسم...
Site Title,Site Title,Título del sitio,عنوان الموقع
Timezone,Timezone,Zona horaria,وحدة زمنية
Select Timezone,Select Timezone,Selecciona la zona horaria,اختر المجال الزمني
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
Push Notification,Push Notification,Notificación de inserción,دفع الإخطار
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
App Version,App Version,Version de aplicacion,نسخة التطبيق
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS
Download,Download,Descargar,تحميل
Direction,Direction,Dirección,اتجاه
Selectable,Selectable,Seleccionable,قابل للتحديد
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
Language,Language,Idioma,لغة
Select Language,Select Language,Seleccione el idioma,اختار اللغة
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv)
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Select Method,Select Method,Seleccionar método,حدد الطريقة
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Cifrado,التشفير
First Section Image,First Section Image,Imagen de la primera sección,صورة القسم الأول
Second Section Image,Second Section Image,Imagen de la segunda sección,صورة القسم الثاني
Title (First Section),Title (First Section),Título (Primera Sección),العنوان (القسم الأول)
Heading (First Section),Heading (First Section),Encabezado (Primera Sección),العنوان (القسم الأول)
Sub Heading (First Section),Sub Heading (First Section),Subtítulo (Primera Sección),العنوان الفرعي (القسم الأول)
Button Name (First Section),Button Name (First Section),Nombre del botón (primera sección),اسم الزر (القسم الأول)
Button Link (First Section),Button Link (First Section),Enlace de botón (primera sección),رابط الزر (القسم الأول)
Title (Second Section),Title (Second Section),Título (Segunda Sección),العنوان (القسم الثاني)
Heading (Second Section),Heading (Second Section),Encabezado (Segunda Sección),العنوان (القسم الثاني)
Sub Heading (Second Section),Sub Heading (Second Section),Subtítulo (segunda sección),العنوان الفرعي (القسم الثاني)
Video Link (Second Section),Video Link (Second Section),Enlace de vídeo (segunda sección),رابط الفيديو (القسم الثاني)
Add Activities,Add Activities,Agregar actividades,أضف الأنشطة
Banner Image,Banner Image,Imagen de banner,صورة بانر
Office Hours,Office Hours,Horas de oficina,ساعات العمل
Home Image,Home Image,Imagen de inicio,صورة المنزل
Play Store QR Image,Play Store QR Image,Imagen QR de Play Store,متجر Play صورة QR
App Store QR Image,App Store QR Image,Imagen QR de la tienda de aplicaciones,صورة QR لمتجر التطبيقات
Google Play Image,Google Play Image,Imagen de Google Play,صورة جوجل بلاي
App Store Image,App Store Image,Imagen de la tienda de aplicaciones,صورة متجر التطبيقات
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي
Tag,Tag,Etiqueta,بطاقة شعار
Footer Text,Footer Text,Texto de pie de página,نص التذييل
Footer Details,Footer Details,Detalles del pie de página,تفاصيل التذييل
Newsletter Details,Newsletter Details,Detalles del boletín,تفاصيل النشرة الإخبارية
Social Icon,Social Icon,Icono social,أيقونة الاجتماعية
Link,Link,Enlace,وصلة
Button Link,Button Link,Enlace de botón,رابط الزر
Button Name,Button Name,Nombre del botón,اسم الزر
Login Image,Login Image,Imagen de inicio de sesión,صورة تسجيل الدخول
Register Image,Register Image,Registrar Imagen,تسجيل الصورة
Agree Policy Title,Agree Policy Title,Aceptar título de la política,الموافقة على عنوان السياسة
Agree Policy Link,Agree Policy Link,Aceptar enlace de política,الموافقة على رابط السياسة
Image One,Image One,Imagen uno,الصورة الأولى
Image Two,Image Two,Imagen dos,الصورة الثانية
Image Three,Image Three,Imagen tres,الصورة الثالثة
Image Four,Image Four,Imagen cuatro,الصورة الرابعة
Heading (For Separate Heading color use '|' sing to divide),Heading (For Separate Heading color use '|' sing to divide),"Título (para un color de título separado, utilice '|' para dividir)",العنوان (للحصول على لون عنوان منفصل، استخدم '|' غناء للتقسيم)
Add Testimonial,Add Testimonial,Agregar testimonio,أضف شهادة
Edit Testimonial,Edit Testimonial,Editar testimonio,تحرير الشهادة
View Info,View Info,Ver información,عرض المعلومات
Video Link,Video Link,Enlace de video,رابط الفيديو
Page,Page,Página,صفحة
Page Name,Page Name,Nombre de la página,اسم الصفحة
TRX ID,TRX ID,Identificación TRX,معرف تي آر إكس
Charge,Charge,Cargar,تكلفة
After Charge,After Charge,Después de la carga,بعد الشحن
Payable,Payable,Pagadero,مستحق الدفع
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
Approved Confirmation,Approved Confirmation,Confirmación aprobada,التأكيد المعتمد
Are you sure to approved this request?,Are you sure to approved this request?,¿Está seguro de haber aprobado esta solicitud?,هل أنت متأكد من الموافقة على هذا الطلب؟
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض
Policy Link,Policy Link,Enlace de política,رابط السياسة
Version,Version,Versión,إصدار
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Verified,Verified,Verificado,تم التحقق
Information of User,Information of User,Información del Usuario,معلومات المستخدم
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,معطل
Type Here...,Type Here...,Escriba aquí...,أكتب هنا...
Search,Search,Buscar,يبحث
URI,URI,URI,URI
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Select Role,Select Role,Seleccionar rol,حدد الدور
Choose One,Choose One,Elige uno,اختر واحدًا
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!
Can't deletable system super admin,Can't deletable system super admin,No se puede eliminar el superadministrador del sistema,لا يمكن حذف المشرف المتميز للنظام
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Donation Details,Donation Details,Detalles de la donación,تفاصيل التبرع
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Role,Role,Role,دور
Generate,Generate,Generar,يولد
Write Subject...,Write Subject...,Escribir Asunto...,كتابة الموضوع...
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Category Name,Category Name,nombre de la categoría,اسم التصنيف
Add Category,Add Category,añadir categoría,إضافة فئة
Select,Select,Seleccionar,يختار
Add New Category,Add New Category,Añadir nueva categoria,إضافة فئة جديدة
Edit Category,Edit Category,Editar categoria,تحرير الفئة
Add Solution,Add Solution,Agregar solución,أضف الحل
Edit Solution,Edit Solution,Editar solución,تحرير الحل
Add Social Icon,Add Social Icon,Agregar ícono social,إضافة أيقونة الاجتماعية
Add Socail Icon,Add Socail Icon,Agregar icono de red social,إضافة أيقونة Socail
Update Extension,Update Extension,Actualizar extensión,تحديث التمديد
Property ID,Property ID,ID de propiedad,معرف العقار
Widget ID,Widget ID,ID del widget,معرف القطعة
Gateway,Gateway,Puerta,بوابة
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة
Disabled,Disabled,Desactivado,عاجز
Currency Type,Currency Type,Tipo de cambio monetario,نوع العملة
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول
Value,Value,Valor,قيمة
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Minimum,Minimum,Mínimo,الحد الأدنى
Maximum,Maximum,Máximo,أقصى
Fixed,Fixed,Fijado,مُثَبَّت
Percent,Percent,Por ciento,نسبه مئويه
Currency Code,Currency Code,Código de moneda,رمز العملة
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة
Currency Name,Currency Name,Nombre de la moneda,اسم العملة
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
Input Text,Input Text,Texto de entrada,أدخل نصآ
File,File,Archivo,ملف
Textarea,Textarea,área de texto,منطقة النص
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Required,Required,Requerido,مطلوب
Add Page,Add Page,Añadir página,إضافة صفحة
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Select Country,Select Country,Seleccionar país,حدد الدولة
Select State,Select State,Seleccione estado,اختر ولايه
Select City,Select City,Ciudad selecta,اختر مدينة
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
I have read agreed with the,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع
Enter Verification Code,Enter Verification Code,Ingrese el código de verificación,أدخل رمز التحقق
Don't get code,Don't get code,No obtener código,لا تحصل على الرمز
Resend,Resend,Reenviar,إعادة إرسال
Enter your donation,Enter your donation,Ingresa tu donación,أدخل تبرعك
Select the amount,Select the amount,Selecciona la cantidad,حدد المبلغ
No Category Found,No Category Found,No se encontró ninguna categoría,لم يتم العثور على فئة
No FAQ Found,No FAQ Found,No se encontraron preguntas frecuentes,لم يتم العثور على الأسئلة الشائعة
appLAmount,Amount,Cantidad,كمية
appLCurrency,Currency,Divisa,عملة
appLTitle,Title,Título,عنوان
appLType,Type,Tipo,يكتب
appLTrx,Trx,trx,تركس
appLSignOutAlert,Sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج
appLDoYouWantSignOut,Do You Want Sign Out?,¿Quieres cerrar sesión?,هل تريد تسجيل الخروج؟
appLYes,Yes,Sí,نعم
appLNo,No,No,لا
appLDismiss,Dismiss,Despedir,رفض
appLAlert,Alert,Alerta,يُحذًِر
appLSuccess,Success,Éxito,نجاح
appldoyouwanttodelete,Do you want to delete?,¿Quieres borrar?,هل تريد أن تحذف؟
appldeletealert,Delete Alert,Eliminar alerta,حذف التنبيه
appldelete,Delete,Borrar,يمسح
appLPrivacyAndPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
Your account deleted successfully!,Your account deleted successfully!,¡Tu cuenta se eliminó exitosamente!,تم حذف حسابك بنجاح!
ru sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك